time,x,y,heading (rad),speed
13.2,-0.249974,21.4469,1.5708,2
13.25,-0.249974,21.5469,1.5708,2
13.3,-0.249974,21.6469,1.5708,2
13.35,-0.249974,21.7469,1.5708,2
13.4,-0.249974,21.8469,1.5708,2
13.45,-0.249974,21.9469,1.5708,2
13.5,-0.249974,22.0469,1.5708,2
13.55,-0.249974,22.1469,1.5708,2
13.6,-0.249974,22.2469,1.5708,2
13.65,-0.249974,22.3469,1.5708,2
13.7,-0.249974,22.4469,1.5708,2
13.75,-0.249974,22.5469,1.5708,2
13.8,-0.249974,22.6469,1.5708,2
13.85,-0.249974,22.7469,1.5708,2
13.9,-0.249974,22.8469,1.5708,2
13.95,-0.249974,22.9469,1.5708,2
14,-0.249974,23.0469,1.5708,2
14.05,-0.249974,23.1469,1.5708,2
14.1,-0.249974,23.2469,1.5708,2
14.15,-0.249974,23.3469,1.5708,2
14.2,-0.249974,23.4469,1.5708,2
14.25,-0.249974,23.5469,1.5708,2
14.3,-0.249974,23.6469,1.5708,2
14.35,-0.249974,23.7469,1.5708,2
14.4,-0.249974,23.8469,1.5708,2
14.45,-0.249974,23.9469,1.5708,2
14.5,-0.249974,24.0469,1.5708,2
14.55,-0.249974,24.1469,1.5708,2
14.6,-0.249974,24.2469,1.5708,2
14.65,-0.249974,24.3469,1.5708,2
14.7,-0.249974,24.4469,1.5708,2
14.75,-0.249974,24.5469,1.5708,2
14.8,-0.249974,24.6469,1.5708,2
14.85,-0.249974,24.7469,1.5708,2
14.9,-0.249974,24.8469,1.5708,2
14.95,-0.249974,24.9469,1.5708,2
15,-0.249974,25.0469,1.5708,2
15.05,-0.249974,25.1459,1.5708,1.98
15.1,-0.249974,25.2439,1.5708,1.96
15.15,-0.249974,25.3409,1.5708,1.94
15.2,-0.249974,25.4369,1.5708,1.92
15.25,-0.249974,25.5319,1.5708,1.9
15.3,-0.249974,25.6259,1.5708,1.88
15.35,-0.249974,25.7189,1.5708,1.86
15.4,-0.249974,25.8109,1.5708,1.84
15.45,-0.249974,25.9019,1.5708,1.82
15.5,-0.249974,25.9919,1.5708,1.8
15.55,-0.249974,26.0809,1.5708,1.78
15.6,-0.249974,26.1689,1.5708,1.76
15.65,-0.249974,26.2559,1.5708,1.74
15.7,-0.249974,26.3419,1.5708,1.72
15.75,-0.249974,26.4269,1.5708,1.7
15.8,-0.249974,26.5109,1.5708,1.68
15.85,-0.249974,26.5939,1.5708,1.66
15.9,-0.249974,26.6759,1.5708,1.64
15.95,-0.249974,26.7569,1.5708,1.62
16,-0.249974,26.8369,1.5708,1.6
16.05,-0.249974,26.9159,1.5708,1.58
16.1,-0.249974,26.9939,1.5708,1.56
16.15,-0.249974,27.0709,1.5708,1.54
16.2,-0.249974,27.1469,1.5708,1.52
16.25,-0.249974,27.2219,1.5708,1.5
16.3,-0.249974,27.2959,1.5708,1.48
16.35,-0.249974,27.3689,1.5708,1.46
16.4,-0.249974,27.4409,1.5708,1.44
16.45,-0.249974,27.5119,1.5708,1.42
16.5,-0.249974,27.5819,1.5708,1.4
16.55,-0.249974,27.6509,1.5708,1.38
16.6,-0.249974,27.7189,1.5708,1.36
16.65,-0.249974,27.7859,1.5708,1.34
16.7,-0.249974,27.8519,1.5708,1.32
16.75,-0.249974,27.9169,1.5708,1.3
16.8,-0.249974,27.9809,1.5708,1.28
16.85,-0.249974,28.0439,1.5708,1.26
16.9,-0.249974,28.1059,1.5708,1.24
16.95,-0.249974,28.1669,1.5708,1.22
17,-0.249974,28.2269,1.5708,1.2
17.05,-0.249974,28.2859,1.5708,1.18
17.1,-0.249974,28.3439,1.5708,1.16
